Model,Embedding Technique,Dataset,Trial,Performance
CAT,ConstantPL,Helena,0,0.3698364008179959
CAT,ConstantPL,Helena,1,0.3741308793456033
CAT,ConstantPL,Helena,2,0.36728016359918203
CAT,ConstantPL,Higgs,0,0.723211857492521
CAT,ConstantPL,Higgs,1,0.7181805819961925
CAT,ConstantPL,Higgs,2,0.7211041610008159
CAT,ConstantPL,California,0,0.25995239955291416
CAT,ConstantPL,California,1,0.25843229445449095
CAT,ConstantPL,California,2,0.2164390309337984
CAT,ConstantPL,Covertype,0,0.9676772544598676
CAT,ConstantPL,Covertype,1,0.9658012271628099
CAT,ConstantPL,Covertype,2,0.9641833687598427
CAT,ConstantPL,Income,0,0.8599863512283894
CAT,ConstantPL,Income,1,0.8580527752502275
CAT,ConstantPL,Income,2,0.8631710646041856
CAT,PL,Helena,0,0.3774028629856851
CAT,PL,Helena,1,0.37065439672801637
CAT,PL,Helena,2,0.36676891615541923
CAT,PL,Higgs,0,0.7217840630949144
CAT,PL,Higgs,1,0.7241637204242589
CAT,PL,Higgs,2,0.7270872994288823
CAT,PL,California,0,0.27134481150853007
CAT,PL,California,1,0.33069039018530594
CAT,PL,California,2,0.25437717662568676
CAT,PL,Covertype,0,0.9655516638985224
CAT,PL,Covertype,1,0.9680645078010034
CAT,PL,Covertype,2,0.96734163489755
CAT,PL,Income,0,0.8639672429481347
CAT,PL,Income,1,0.8653321201091901
CAT,PL,Income,2,0.8565741583257507
CAT,ExpFF,Helena,0,0.3758691206543967
CAT,ExpFF,Helena,1,0.37229038854805724
CAT,ExpFF,Helena,2,0.37321063394683024
CAT,ExpFF,Higgs,0,0.7225319553984226
CAT,ExpFF,Higgs,1,0.721036170791406
CAT,ExpFF,Higgs,2,0.7154609736197988
CAT,ExpFF,California,0,0.22752592438145688
CAT,ExpFF,California,1,0.45135476453262463
CAT,ExpFF,California,2,0.27525616293413596
CAT,ExpFF,Covertype,0,0.9624020033906181
CAT,ExpFF,Covertype,1,0.9625396934674664
CAT,ExpFF,Covertype,2,0.962832284880769
CAT,ExpFF,Income,0,0.857484076433121
CAT,ExpFF,Income,1,0.8623748862602366
CAT,ExpFF,Income,2,0.8616924476797089
CAT,L,Helena,0,0.37719836400817996
CAT,L,Helena,1,0.37709611451942743
CAT,L,Helena,2,0.37423312883435583
CAT,L,Higgs,0,0.7192004351373402
CAT,L,Higgs,1,0.7141691596410117
CAT,L,Higgs,2,0.7176366603209138
CAT,L,California,0,0.27602279238533556
CAT,L,California,1,0.37992415459532486
CAT,L,California,2,0.45149143327746477
CAT,L,Covertype,0,0.9625224822078604
CAT,L,Covertype,1,0.962866707399981
CAT,L,Covertype,2,0.96135211655465
CAT,L,Income,0,0.8572565969062784
CAT,L,Income,1,0.8563466787989081
CAT,L,Income,2,0.8628298453139217
FT,ConstantPL,Helena,0,0.3717791411042945
FT,ConstantPL,Helena,1,0.3741308793456033
FT,ConstantPL,Helena,2,0.37627811860940696
FT,ConstantPL,Higgs,0,0.7157329344574381
FT,ConstantPL,Higgs,1,0.7213761218384552
FT,ConstantPL,Higgs,2,0.719744356812619
FT,ConstantPL,California,0,0.36731856590823125
FT,ConstantPL,California,1,0.22188847237511686
FT,ConstantPL,California,2,0.24523525123010603
FT,ConstantPL,Covertype,0,0.9665499169556724
FT,ConstantPL,Covertype,1,0.9660249735376883
FT,ConstantPL,Covertype,2,0.9670490434842474
FT,ConstantPL,Income,0,0.8596451319381255
FT,ConstantPL,Income,1,0.8644222020018199
FT,ConstantPL,Income,2,0.8637397634212921
FT,PL,Helena,0,0.3768916155419223
FT,PL,Helena,1,0.36728016359918203
FT,PL,Helena,2,0.3774028629856851
FT,PL,Higgs,0,0.7240277400054392
FT,PL,Higgs,1,0.7253875441936362
FT,PL,Higgs,2,0.7180446015773728
FT,PL,California,0,0.24240655412799433
FT,PL,California,1,0.2329726355117664
FT,PL,California,2,0.2748236799972099
FT,PL,Covertype,0,0.9669543815564142
FT,PL,Covertype,1,0.9686669018872146
FT,PL,Covertype,2,0.9671867335610956
FT,PL,Income,0,0.864080982711556
FT,PL,Income,1,0.8652183803457689
FT,PL,Income,2,0.8636260236578708
FT,ExpFF,Helena,0,0.37372188139059304
FT,ExpFF,Helena,1,0.37321063394683024
FT,ExpFF,Helena,2,0.3773006134969325
FT,ExpFF,Higgs,0,0.7181805819961925
FT,ExpFF,Higgs,1,0.7177046505303236
FT,ExpFF,Higgs,2,0.7227359260266522
FT,ExpFF,California,0,0.33331259143979924
FT,ExpFF,California,1,0.312859669066312
FT,ExpFF,California,2,0.2927473286787669
FT,ExpFF,Covertype,0,0.9585036530898514
FT,ExpFF,Covertype,1,0.9609390463241052
FT,ExpFF,Covertype,2,0.9637616928994949
FT,ExpFF,Income,0,0.8624886260236578
FT,ExpFF,Income,1,0.8539581437670609
FT,ExpFF,Income,2,0.8623748862602366
FT,L,Helena,0,0.3725971370143149
FT,L,Helena,1,0.3763803680981595
FT,L,Helena,2,0.3731083844580777
FT,L,Higgs,0,0.7222599945607833
FT,L,Higgs,1,0.7145771008974707
FT,L,Higgs,2,0.7218520533043242
FT,L,California,0,0.31277323475009516
FT,L,California,1,0.3365540331915805
FT,L,California,2,0.4493464916421656
FT,L,Covertype,0,0.9622298907945578
FT,L,Covertype,1,0.9587962445031539
FT,L,Covertype,2,0.9633055945199349
FT,L,Income,0,0.8521383075523203
FT,L,Income,1,0.8565741583257507
FT,L,Income,2,0.8573703366696998
