Embedding Technique,Dataset,Base,Test Accuracy,Test F1
Gaussian,Income,0.001,0.8563466787989081,0.8500234756270338
Gaussian,Income,0.1,0.8585077343039127,0.8530529571042282
Gaussian,Income,0.5,0.8521383075523203,0.8370575521921471
Gaussian,Income,1.0,0.8645359417652412,0.8616182835586876
Gaussian,Income,4.0,0.8627161055505005,0.8595181044021459
Gaussian,Higgs,0.001,0.5220968180581996,0.3581704976878469
Gaussian,Higgs,0.1,0.7262034267065542,0.7262643003770002
Gaussian,Higgs,0.5,0.7262714169159641,0.7258536801446487
Gaussian,Higgs,1.0,0.7244356812618983,0.7242250887583227
Gaussian,Higgs,4.0,0.7071661680717977,0.7072311804251057
Gaussian,Helena,0.001,0.34938650306748464,0.3265825683775604
Gaussian,Helena,0.1,0.36820040899795503,0.3547837572098338
Gaussian,Helena,0.5,0.37433537832310837,0.3616481839099959
Gaussian,Helena,1.0,0.36687116564417177,0.35078375779703286
Gaussian,Helena,4.0,0.35030674846625764,0.34136919558956985
Log-Linear,Income,0.001,0.8558917197452229,0.8513378346222645
Log-Linear,Income,0.1,0.8580527752502275,0.853846762930571
Log-Linear,Income,0.5,0.859417652411283,0.8516584578339987
Log-Linear,Income,1.0,0.8555505004549591,0.8487448827431808
Log-Linear,Income,4.0,0.8639672429481347,0.8569832160262935
Log-Linear,Higgs,0.001,0.7173646994832744,0.717502254715882
Log-Linear,Higgs,0.1,0.721036170791406,0.7210756309274851
Log-Linear,Higgs,0.5,0.7153929834103889,0.7149586450783655
Log-Linear,Higgs,1.0,0.7167527875985858,0.716274449390083
Log-Linear,Higgs,4.0,0.719744356812619,0.7197027860684552
Log-Linear,Helena,0.001,0.37116564417177916,0.35746880697163425
Log-Linear,Helena,0.1,0.37004089979550103,0.35476359744129066
Log-Linear,Helena,0.5,0.37474437627811863,0.3595167547204896
Log-Linear,Helena,1.0,0.3725971370143149,0.3559732411440995
Log-Linear,Helena,4.0,0.36860940695296524,0.354236309650289
